Albany, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
193303,30.8,-3.3
193304,46.2,-0.3
193305,59.6,1.5
193306,69.0,2.0
193307,72.2,0.4
193308,68.6,-1.0
193309,62.5,0.9
193310,48.6,-1.9
193311,32.6,-6.9
193312,22.4,-4.8
193401,22.9,0.7
193402,9.8,-14.5
193403,30.0,-4.1
193404,45.2,-1.3
193405,58.9,0.8
193406,67.4,0.4
193407,72.1,0.3
193408,65.3,-4.3
193409,63.9,2.3
193410,46.5,-4.0
193411,41.5,2.0
193412,23.8,-3.4
193501,17.3,-4.9
193502,22.4,-1.9
193503,34.3,0.2
193504,43.7,-2.8
193505,53.8,-4.3
193506,65.9,-1.1
193507,73.2,1.4
193508,69.3,-0.3
193509,57.8,-3.8
193510,50.5,0.0
193511,40.7,1.2
193512,23.2,-4.0
193601,21.2,-1.0
193602,16.0,-8.3
193603,39.9,5.8
193604,42.7,-3.8
193605,59.8,1.7
193606,66.8,-0.2
193607,72.0,0.2
193608,69.1,-0.5
193609,61.1,-0.5
193610,49.9,-0.6
193611,34.8,-4.7
193612,29.7,2.5
193701,30.7,8.5
193702,28.1,3.8
193703,29.0,-5.1
193704,43.9,-2.6
193705,59.5,1.4
193706,66.5,-0.5
193707,72.1,0.3
193708,73.1,3.5
193709,59.3,-2.3
193710,48.9,-1.6
193711,39.4,-0.1
193712,26.4,-0.8
193801,20.3,-1.9
193802,27.0,2.7
193803,37.0,2.9
193804,48.7,2.2
193805,55.3,-2.8
193806,67.8,0.8
193807,72.4,0.6
193808,72.7,3.1
193809,58.1,-3.5
193810,52.3,1.8
193811,39.6,0.1
193812,28.0,0.8
193901,21.6,-0.6
193902,24.2,-0.1
193903,27.9,-6.2
193904,41.7,-4.8
193905,60.1,2.0
193906,66.8,-0.2
193907,71.4,-0.4
193908,73.4,3.8
193909,61.3,-0.3
193910,48.6,-1.9
193911,34.8,-4.7
193912,26.6,-0.6
194001,14.5,-7.7
194002,21.4,-2.9
194003,26.4,-7.7
194004,41.3,-5.2
194005,58.0,-0.1
194006,64.6,-2.4
194007,70.6,-1.2
194008,67.3,-2.3
194009,59.6,-2.0
194010,45.5,-5.0
194011,37.8,-1.7
194012,28.2,1.0
194101,17.9,-4.3
194102,23.0,-1.3
194103,27.5,-6.6
194104,51.7,5.2
194105,58.9,0.8
194106,68.1,1.1
194107,72.9,1.1
194108,67.7,-1.9
194109,62.8,1.2
194110,51.0,0.5
194111,41.8,2.3
194112,29.3,2.1
194201,21.4,-0.8
194202,20.4,-3.9
194203,37.6,3.5
194204,49.1,2.6
194205,60.7,2.6
194206,67.4,0.4
194207,70.6,-1.2
194208,68.4,-1.2
194209,61.1,-0.5
194210,50.9,0.4
194211,37.9,-1.6
194212,22.3,-4.9
194301,17.4,-4.8
194302,23.6,-0.7
194303,31.0,-3.1
194304,39.3,-7.2
194305,57.5,-0.6
194306,71.6,4.6
194307,72.3,0.5
194308,68.6,-1.0
194309,60.3,-1.3
194310,49.3,-1.2
194311,35.6,-3.9
194312,22.7,-4.5
194401,24.1,1.9
194402,23.2,-1.1
194403,28.6,-5.5
194404,41.5,-5.0
194405,63.6,5.5
194406,66.9,-0.1
194407,73.4,1.6
194408,71.8,2.2
194409,62.6,1.0
194410,48.2,-2.3
194411,-99.0,-138.5
